Sıra  | Oyuncu Adı                     | LP     | Main Şampiyon
423   | EzVayneQQ#TR1                  | 492    | Fiora
424   | ceku#baIim                     | 491    | Janna
425   | Holløw#TR1                     | 491    | Nami
426   | Boss429#006                    | 489    | Karma
427   | let me handle#8390             | 488    | Thresh
428   | Ballıca Teksas#15ff            | 488    | Gragas
429   | sergio ramos#93RMA             | 487    | Yasuo
430   | Rug Seller#TR1                 | 486    | Tahm Kench
431   | MEĞZAME#TR1                    | 486    | Camille
432   | FUСΚYOULIKEIСAN#asf            | 486    | Kindred
433   | odium#numen                    | 485    | Soraka
434   | Bahçevelli#1010                | 484    | Zoe
435   | Seymix#993                     | 483    | Yasuo
436   | IIIIIIllIIll#llIII             | 483    | Nasus
437   | Eternal Wild#TR1               | 482    | Nasus
438   | Ladyboy Ahmet#1903             | 482    | Karma
439   | 탑 코리도 킹#1901                   | 480    | Vladimir
440   | 09 01 2010#026                 | 480    | Master Yi
441   | 6KaraKoyun#Koyun               | 480    | Katarina
442   | pozitifim#0005                 | 480    | Bel'Veth
443   | K1NG DOĞUKAN#TR1               | 479    | Kai'Sa
444   | cube sheker#TR12               | 479    | Nidalee
445   | Ekkota#mami                    | 478    | Ekko
446   | D0KI#TR61                      | 478    | Riven
447   | BAMBOLEO#TR31                  | 477    | Viktor
448   | valentina#fae                  | 477    | Janna
449   | mental breakdown#iron4         | 477    | Fiora
450   | Bishu#TR1                      | 475    | Vladimir
451   | Ettelly#TR1                    | 475    | Irelia
452   | sophie germain#1111            | 474    | Janna
453   | Bounifiort#TR1                 | 474    | Anivia
454   | EX7#3783                       | 474    | Zed
455   | ByPeJuRa#KGT                   | 473    | Kai'Sa
456   | AGoNY#HLE                      | 472    | Rell
457   | Chemistries#TR1                | 472    | Anivia
458   | stfu and play#anann            | 472    | Katarina
459   | DIZØKILL#TR1                   | 472    | Viego
460   | dobro vecer#zephx              | 471    | Lulu
461   | batu123#jgdif                  | 471    | Yasuo
462   | DULTÜCCARI#NGC                 | 471    | Soraka
463   | 081096251199#0802              | 471    | Yasuo
464   | TARDE SETT TUTE#BOSS           | 470    | Sett
465   | ELAK#XXXXX                     | 470    | Galio
466   | ManyaqBoy#TR31                 | 470    | Yasuo
467   | Öykie#Lady                     | 469    | Ahri
468   | Dieruth#1907                   | 465    | Jinx
469   | Bück Dîch#1310                 | 464    | Darius
470   | NEEKO TANRISI#GOD              | 464    | Neeko
471   | Area T Rex#0305                | 463    | Lux
472   | Jackz#TR1                      | 463    | Gangplank
473   | beypazari iceyim#neyse         | 463    | Thresh
474   | C O N Q U E S T#1788           | 463    | Kha'Zix
475   | öldühttp#kimya                 | 461    | Aurora
476   | gemici#370                     | 461    | Taric
477   | Tyurvalembas#3152              | 460    | Skarner
478   | EDG wx 3334532#xxx             | 459    | Sylas
479   | Shasho#4444                    | 459    | Jhin
480   | Tekin#000                      | 459    | Xayah
481   | ｙｏｒｉｃｈｉ#11111                  | 458    | Lulu
482   | TWKING#619                     | 458    | Twitch
483   | Lesi0n#TR1                     | 458    | Smolder
484   | KeyBlade#KUN                   | 458    | Yasuo
485   | lower your head#DDD            | 457    | Sylas
486   | Canay#TR1                      | 455    | Urgot
487   | Pain#Kayn                      | 454    | Kayn
488   | olek#31sa                      | 453    | Jhin
489   | ozzykaratren#1907              | 453    | Kalista
490   | TÜRBANLI DAMITAN#3162          | 453    | Aphelios
491   | Sativa#7080                    | 451    | Twitch
492   | MRJack#388                     | 451    | Zed
493   | Mâây#888ii                     | 449    | Lux
494   | arzhel#green                   | 448    | Lux
495   | deepinlovekathie#707           | 447    | Xin Zhao
496   | Russell Adler#İblis            | 446    | Nocturne
497   | Miyuna#sago                    | 446    | Kai'Sa
498   | JackalShow#TR1                 | 445    | Vayne
499   | Sihirdar Adım#TR2              | 444    | Fiora
500   | Code Lyoko#2010                | 441    | Aurelion Sol
